kode,sentimen
U+1F600,positif
U+1F601,positif
U+1F602,positif
U+1F603,positif
U+1F604,positif
U+1F605,positif
U+1F606,positif
U+1F607,positif
U+1F608,negatif
U+1F609,positif
U+1F60A,positif
U+1F60B,positif
U+1F60C,positif
U+1F60D,positif
U+1F60E,positif
U+1F60F,negatif
U+1F610,netral
U+1F611,negatif
U+1F612,negatif
U+1F613,negatif
U+1F614,negatif
U+1F615,negatif
U+1F616,negatif
U+1F617,positif
U+1F618,positif
U+1F619,positif
U+1F61A,positif
U+1F61B,positif
U+1F61C,positif
U+1F61D,positif
U+1F61E,negatif
U+1F61F,negatif
U+1F620,negatif
U+1F621,negatif
U+1F622,negatif
U+1F623,negatif
U+1F624,negatif
U+1F625,negatif
U+1F626,negatif
U+1F627,negatif
U+1F628,negatif
U+1F629,negatif
U+1F62A,negatif
U+1F62B,negatif
U+1F62C,negatif
U+1F62D,negatif
U+1F62E,netral
U+1F62F,netral
U+1F630,negatif
U+1F631,negatif
U+1F632,negatif
U+1F633,negatif
U+1F634,negatif
U+1F635,negatif
U+1F636,negatif
U+1F637,negatif
U+1F638,positif
U+1F639,positif
U+1F63A,positif
U+1F63B,positif
U+1F63C,negatif
U+1F63D,positif
U+1F63E,negatif
U+1F63F,negatif
U+1F640,negatif
U+1F641,negatif
U+1F642,positif
U+1F643,positif
U+1F644,negatif
U+1F645,negatif
U+1F646,positif
U+1F647,positif
U+1F648,negatif
U+1F649,negatif
U+1F64A,negatif
U+1F64B,positif
U+1F64C,positif
U+1F64D,negatif
U+1F64E,negatif
U+1F64F,positif
U+1F90C,netral
U+1F90D,positif
U+1F90E,positif
U+1F90F,netral
U+1F910,negatif
U+1F911,positif
U+1F912,negatif
U+1F913,positif
U+1F914,netral
U+1F915,negatif
U+1F916,negatif
U+1F917,positif
U+1F918,positif
U+1F919,positif
U+1F91A,positif
U+1F91B,positif
U+1F91C,positif
U+1F91D,positif
U+1F91E,positif
U+1F91F,positif
U+1F920,positif
U+1F921,negatif
U+1F922,negatif
U+1F923,positif
U+1F924,positif
U+1F925,negatif
U+1F926,negatif
U+1F927,negatif
U+1F928,negatif
U+1F929,positif
U+1F92A,positif
U+1F92B,netral
U+1F92C,negatif
U+1F92D,positif
U+1F92E,negatif
U+1F92F,negatif
U+1F930,positif
U+1F931,positif
U+1F932,positif
U+1F933,positif
U+1F934,positif
U+1F935,positif
U+1F938,positif
U+1F940,negatif
U+1F942,positif
U+1F947,netral
U+1F970,positif
U+1F971,negatif
U+1F972,negatif
U+1F973,positif
U+1F974,negatif
U+1F975,negatif
U+1F976,negatif
U+1F977,netral
U+1F978,positif
U+1F979,negatif
U+1F97A,negatif
U+1F9D0,negatif
U+1F9D8,positif
U+1FA75,positif
U+1FA76,positif
U+1FA77,positif
U+1FAE0,negatif
U+1FAE1,positif
U+1FAE2,netral
U+1FAE3,negatif
U+1FAE4,negatif
U+1FAE5,netral
U+1FAF0,positif
U+1FAF1,positif
U+1FAF2,positif
U+1FAF3,positif
U+1FAF4,positif
U+1FAF5,negatif
U+1FAF6,positif
U+1FAF7,netral
U+1FAF8,netral
U+1F47F,negatif
U+1F5FF,netral
U+1F634,negatif
