"slang","formal"
"aj","saja"
"aja","saja"
"asu","anjing"
"apaan","apa"
"asik","asyik"
"asek","asyik"
"asbun","asal bunyi"
"ane","saya"
"ana","saya"
"anjim","anjing"
"ayok","ayo"
"aq","saya"
"bet","sangat"
"b","biasa"
"bapuk","buruk"
"baktre","baterai"
"batrei","baterai"
"batre","baterai"
"benerin","perbaiki"
"buf","buff"
"bijimane","bagaimana"
"bijimana","bagaimana"
"bgmn","bagaimana"
"blum","belum"
"blm","belum"
"brapa","berapa"
"brpa","berapa"
"bng","abang"
"bg","abang"
"bngt","banget"
"buk","ibu"
"cpat","cepat"
"cpt","cepat"
"cacilik","bocah cilik"
"capek","cape"
"de","dia"
"dhe","dia"
"dah","sudah"
"dapet","dapat"
"dapt","dapat"
"dittp","dititip"
"dpan","depan"
"dlm","dalam"
"dll","dan lainnya"
"dst","dan seterusnya"
"duit","uang"
"emang","memang"
"engga","tidak"
"err","error"
"eror","error"
"error","error"
"frezz","beku"
"g","tidak"
"ga","tidak"
"gaje","tidak jelas"
"gak","tidak"
"game play","permainan"
"gameplay","permainan"
"gblg","goblok"
"geblek","goblok"
"gitu","begitu"
"gk","tidak"
"gpp","tidak apa-apa"
"game","permainan"
"gem","permainan"
"gemnya","permainan"
"gem nya","permainan"
"gamenya","permainan"
"game nya","permainan"
"gmna","bagaimana"
"gmn","bagaimana"
"gw","saya"
"gue","saya"
"gege","bermain bagus"
"gg","bermain bagus"
"hlo","halo"
"hpus","hapus"
"hrus","wajib"
"ia","dia"
"jago","hebat"
"jd","jadi"
"jdi","jadi"
"jgn","jangan"
"jls","jelas"
"kaga","tidak"
"krna","karena"
"karna","karena"
"kntl","kontol"
"kwontol",kontol
"kocak","lucu"
"kmu","kamu"
"kalo","kalau"
"kesel","kesal"
"kek","seperti"
"klo","kalau"
"ku","aku,saya"
"lag","lambat"
"lek","lambat"
"lo","kamu"
"ls","kekalahan beruntun"
"lostrek","kekalahan beruntun"
"lossstreak","kakalahan beruntun"
"loss","kalah"
"los","kalah"
"lu","kamu"
"leg","lambat"
"maf","maaf"
"ml","mlbb"
"mlbb","mlbb"
"mlb","mlbb"
"mlh","malah"
"males","malas"
"monton","developer"
"montod","developer"
"muntod","developer"
"munton","developer"
"muntun","developer"
"mulu","terus"
"ndak","tidak"
"ngadu","lapor"
"engak","tidak"
"engga","tidak"
"nggak","tidak"
"ngelag","lambat"
"ngelek","lambat"
"ngetrol","ganggu"
"ngetrool","ganggu"
"ngetroll","ganggu"
"ngpus","mendorong"
"nyiksa","menyiksa"
"ny","nya"
"nup","lemah"
"noob","lemah"
"org","orang"
"pake","pakai"
"pdhl","padahal"
"ping","jaringan"
"ppk","puki"
"ppkk","puki"
"potem","cepat"
"pls","tolong"
"plis","tolong"
"pliss","tolong"
"make","pakai"
"nentuin","tentu"
"tentukan","tentu"
"tb","tada"
"streak","beruntun"
"s7","setuju"
"se7',"setuju"
"sa","saya"
"sans","santai"
"sekedar","hanya"
"skuy","ayo"
"sob","kawan"
"sue","anjing"
"sy","saya"
"sya","saya"
"tanggepin","respons"
"tdk","tidak"
"tp","tetapi"
"tapi","tetapi"
"tenks","terima kasih"
"tnx","terima kasih"
"thx","terima kasih"
"tll","tolol"
"trus","terus"
"truz","terus"
"udah","sudah"
"utk","untuk"
"w","saya"
"wa","saya,whatsapp"
"we","saya"
"yg","yang"
"yup","ya"
"yok","ayo"
"yuk","ayo"
"yth","yang terhormat"
"yoi","iya"
"wan","kawan"
"za","saya"
"z","saya"
"zz","saya"
"zha","saya"
"b@b!","babi"
"b@bi","babi"
"anj*","anjing"
"4nj*","anjing"
"45u","anjing"
"a5u","anjing"
"4su","anjing"
"4njim","anjing"
"4nj1n9","anjing"
"4njin9","anjing"
"4njing","anjing"
"anj1ng","anjing"
"anjin9","anjing"
"45u","anjing"
"b0t0l","bodoh dan tolol"
"b0t","bot"
"d4j4l","setan"
"d@j@l","setan"
"n0b","lemah"
"t@!","tai"
"t4i","tai"
"t@i","tai"
"t0l0l","tolol"
