"slang","formal"
"aj","saja"
"ajj","saja"
"aja","saja"
"ajah","saja"
"ama","sama"
"asu","anjing"
"apaan","apa"
"asik","asyik"
"asek","asyik"
"asbun","asal bunyi"
"ane","saya"
"ana","saya"
"anjim","anjing"
"ayok","ayo"
"aq","saya"
"bet","sangat"
"b","biasa"
"bgo","bego"
"bapuk","buruk"
"baktre","baterai"
"batrei","baterai"
"batre","baterai"
"benerin","perbaiki"
"bete","frustasi"
"buf","buff"
"bijimane","bagaimana"
"bijimana","bagaimana"
"bikin","buat"
"bikinin","buat"
"bgmn","bagaimana"
"blum","belum"
"blm","belum"
"brapa","berapa"
"brpa","berapa"
"bng","abang"
"bg","abang"
"bngt","banget"
"buk","ibu"
"buri","ugly"
"burik","ugly"
"burikk","ugly"
"burrikk","ugly"
"burrik","ugly"
"cpat","cepat"
"cpt","cepat"
"cacilik","bocah cilik"
"capek","cape"
"development","developer"
"de","dia"
"dhe","dia"
"dah","sudah"
"dapet","dapat"
"dapt","dapat"
"draksistem","dark system"
"draksystem","dark system"
"dittp","dititip"
"dpan","depan"
"dlm","dalam"
"dll","dan lainnya"
"dst","dan seterusnya"
"duit","uang"
"drak","dark"
"doang","saja"
"emg","memang"
"emang","memang"
"engga","tidak"
"err","error"
"eror","error"
"error","error"
"frezz","freeze"
"frez","freeze"
"frizz","freeze"
"friz","freeze"
"g","tidak"
"ga","tidak"
"gadaa","tidak ada"
"gaada","tidak ada"
"gaje","tidak jelas"
"gak","tidak"
"game play","permainan"
"gameplay","permainan"
"gblg","goblok"
"geblek","goblok"
"gitu","itu"
"gk","tidak"
"gpp","tidak apa-apa"
"game","permainan"
"gem","permainan"
"gemnya","permainan"
"gem nya","permainan"
"gamenya","permainan"
"gmna","bagaimana"
"gmn","bagaimana"
"gw","saya"
"gue","saya"
"gege","good game"
"gg","good game"
"hlo","halo"
"hpus","hapus"
"hrus","wajib"
"ia","dia"
"jago","hebat"
"jd","jadi"
"jdi","jadi"
"jgn","jangan"
"jngn","jangan"
"jls","jelas"
"jringan","jaringan"
"kaga","tidak"
"krna","karena"
"karna","karena"
"ketemuin","pertemukan"
"kntl","kontol"
"kwontol",kontol
"kocak","lucu"
"kmu","kamu"
"kalo","kalau"
"kesel","kesal"
"kek","seperti"
"klo","kalau"
"ku","aku,saya"
"lag","lambat"
"lek","lambat"
"lo","kamu"
"ls","kalah"
"lostrek","kalah"
"lossstreak","kalah"
"loss","kalah"
"lostrek","losstreak"
"los","kalah"
"lu","kamu"
"leg","lambat"
"maf","maaf"
"maen","main"
"ml","mlbb"
"mlbb","mlbb"
"mlb","mlbb"
"mlh","malah"
"males","malas"
"menjdi","menjadi"
"memek","pussy"
"mmk","pussy"
"mem..","pussy"
"monton","developer"
"montod","developer"
"muntod","developer"
"munton","developer"
"muntun","developer"
"mulu","terus"
"naiikin","naikan"
"naikkin","naikan"
"ndak","tidak"
"ngadu","lapor"
"ngebuat","buat"
"ngasih","beri"
"ngasi","beri"
"ntah","entah"
"engak","tidak"
"engga","tidak"
"najiss","najis"
"nggak","tidak"
"ngelag","lambat"
"ngelek","lambat"
"ngetrol","ganggu"
"ngetrool","ganggu"
"ngetroll","ganggu"
"ngentid","fuck"
"ngentod","fuck"
"ngentodd","fuck"
"ngentood","fuck"
"ngent..","fuck"
"ngomong","omong"
"ngpus","mendorong"
"ngelag","lag"
"ngeleg","lag"
"ngejok","bercanda"
"nyiksa","menyiksa"
"ny","nya"
"nup","lemah"
"noob","lemah"
"org","orang"
"pake","pakai"
"pepek","pussy"
"pdhl","padahal"
"ping","jaringan"
"ppk","pussy"
"ppkk","pussy"
"potem","cepat"
"pls","tolong"
"plis","tolong"
"pliss","tolong"
"make","pakai"
"nentuin","tentu"
"taekk","tai"
"taek","tai"
"tentukan","tentu"
"tb","tada"
"tolo","tolol"
"toll","tolol"
"streak","beruntun"
"s7","setuju"
"se7',"setuju"
"sa","saya"
"sans","santai"
"sekedar","hanya"
"skuy","ayo"
"sob","kawan"
"sue","anjing"
"sy","saya"
"sya","saya"
"tanggepin","respons"
"tdk","tidak"
"tp","tetapi"
"tapi","tetapi"
"terbangsat","paling bangsat"
"tenks","terima kasih"
"tnx","terima kasih"
"thx","terima kasih"
"tll","tolol"
"trus","terus"
"truz","terus"
"tod","fuck"
"udah","sudah"
"utk","untuk"
"w","saya"
"wa","saya,whatsapp"
"we","saya"
"yg","yang"
"yup","ya"
"yok","ayo"
"yuk","ayo"
"yth","yang terhormat"
"yoi","iya"
"wan","kawan"
"za","saya"
"z","saya"
"zz","saya"
"zha","saya"
