"simbol","kode"
":)","U+1F642"
"uwu","U+1F60D"
":(","U+1F641"
";)","U+1F609"
":p","U+1F61B"
":-p","U+1F61B"
":v","U+1F61B"
":d","U+1F603"
":-d","U+1F603"
":))","U+1F642"
":-))","U+1F642"
":-)","U+1F642"
":((","U+1F641"
":-(","U+1F641"
":-((","U+1F641"
"@_@","U+1F610"
"^_~","U+1F609"
"^_^","U+1F60A"
"^0^","U+1F604"
"u_u","U+1F614"
">:(","U+1F621"
":-x","U+1F910"
"<3","U+2764"
"^3^","U+1F618"
"8-)","U+1F60E"
"hhh","U+1F606"
"hhhh","U+1F606"
"ahaha","U+1F606"
"haha","U+1F606"
"hahah","U+1F606"
"hahaha","U+1F606"
"ahae","U+1F606"
"ahaee","U+1F606"
"ahaeee","U+1F606"
"ahahae","U+1F606"
"ahahaee","U+1F606"
"ahahaeee","U+1F606"
"ahai","U+1F606"
"ahaii","U+1F606"
"ahaiii","U+1F606"
"ahahai","U+1F606"
"ahahaii","U+1F606"
"ahahaiii","U+1F606"
"xaxa","U+1F606"
"xaxax","U+1F606"
"xaxaxa","U+1F606"
"hehe","U+1F601"
"ehehe","U+1F601"
"heheh","U+1F601"
"hehehe","U+1F601"
"xd","U+1F606"
"xixi","U+1F601"
"xixix","U+1F601"
"xixixi","U+1F601"
"wkwk","U+1F606"
"wkwkwk","U+1F606"
"kkk","U+1F606"
"wkkk","U+1F606"
"wkwkk","U+1F606"
"wwkkwkw","U+1F606"
"kwkwk","U+1F606"
"awakwakwak","U+1F606"
"wakaka","U+1F606"
"wakakak","U+1F606"
"wakakkaka","U+1F606"
"wakakkakak","U+1F606"
"awokwokwok","U+1F606"
"zzz","U+1F634"
"zzzz","U+1F634"
"zzzzz","U+1F634"
